hash,buggy_sha,tree,backport,buggy_tag,root cause,Trigger condition,discover,afterfix,consequence,visibility,Note (conseqeuce),Note (trigger),,discovery,hardware,
956dfda6a70885f18c0f8236a461aa2bc4f556ad,e1fad12dcb66,master,,v6.18,semantic(maintain in-memory data structure wrong cfs tree list etc),"Property change (per cgroup), Thread Behavior",User reported or In-production,comment,Functionality (CFS bandwidth),Warning,Trigger throttle in unthrottle path (tasks in a cgroup in a mixed state) ,throttled task migrate to another cgroup without tasks but with quota and not throttled.,,,,
0e4a169d1a2b630c607416d9e3739d80e176ed67,e1fad12dcb66,master,,v6.18,semantic(maintain in-memory data structure wrong cfs tree list etc),"Property change (per cgroup), Thread Behavior",User reported or In-production,"comment, warning"," ""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, cpufreq control)"", ""Performance (Policy violation, fairness)""",Warning,loss of integrity of the leaf cfs_rq,,add an assert,,,
17e3e88ed0b6318fde0d1c14df1a804711cab1b5,67692435c411,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,v5.4,semantic(incorrect update stats),"Thread Behavior, multiple sched class",Code Review or Internal Debug,comment,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, cpufreq control)"", ""Performance (Policy violation, fairness)""",None,,,,,,
ee6e44dfe6e50b4a5df853d933a96bdff5309e6e,4ae8d9aa9f9d,master,,v6.17,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Hotplug/Hotunplug, Thread Behavior, Special topology (other)",Customizied test,warning,Functionality (hotplug),Warning,hotplug doesn't stop all timer on it,,add a warning,IBM CI tool,IBM Power9 / Samsung Exynos SoC,
a3a70caf7906708bf9bbc80018752a6b36543808,cccb45d7c4295,master,,v6.17,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, multiple sched class",Benchmark/stress test regression,comment,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, fairness)""",None,"cpu idle for 1 second, after dl server idle",,,,,
4ae8d9aa9f9dc7137ea5e564d79c5aa5af1bc45c,cccb45d7c4295,master,,v6.17,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, multiple sched class",Benchmark/stress test/standard test fail,no action,lockup / hang,Panic,,,,locktorture,,
5ebf512f335053a42482ebff91e46c6dc156bf8c,cd7f55359c90,master;linux-6.12.y;linux-6.6.y,linux-6.12.y;linux-6.6.y,v6.3,memory,"Special topology (numa), Kthread Behavior",Other kernel subsystem behavior,no action,Crash,Panic,,,,,,
e67e3e738f088e6c5ccfab618a29318a3f08db41,b7ca5743a260,linux-6.12.y,linux-6.12.y,v6.16,semantic(incorrect update stats),"Thread Behavior, Property change (per cgroup)",Customizied test,no action,"Functionality (response error), Functionality (task state change failure)",None,wait_task_inactive cannot return true for a delayed dequeue task,,,,,
52d15521eb75f9b521744db675bee61025d2fa52,63ba8422f876,master,,v6.8,semantic(incorrect update stats),"Hotplug/Hotunplug, Thread Behavior",User reported or In-production,no action,lockup / hang,Panic,,,,,,
421fc59cf58c64f898cafbbbbda0bc705837e7df,63ba8422f876,master,,v6.8,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, multiple sched class",User reported or In-production,no action,Functionality (starvation),Warning,,,,,,
bb4700adc3abec34c0a38b64f66258e4e233fc16,cccb45d7c4295,master,,v6.17,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Property change (per thread), multiple sched class",User reported or In-production,tracepoint,Functionality (Deadline enforce / admission control),None,,,,,,
4717432dfd99bbd015b6782adca216c6f9340038,cccb45d7c429,master,,v6.17,semantic(incorrect logic implementation making decision  update attr managetimer etc),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, sched overhead)""",None,go through the throttle path again unnecessary,,,,,
fcc9276c4d331cd1fe9319d793e80b02e09727f5,2ff899e351643,master,,v6.15,semantic(incorrect update stats),"Hotplug/Hotunplug, Thread Behavior",Benchmark/stress test regression,comment,"Functionality (Deadline enforce / admission control), ""Performance (Policy violation, balance, work conserving)""",None,dl.extra_bw not reset when reconstructing sched domain,,,,,
9f239df55546ee1d28f0976130136ffd1cad0fd7,d741f297bceaf,master,,v6.12,semantic(incorrect update stats),Boot,User reported or In-production,no action,"Functionality (Deadline enforce / admission control), ""Performance (Policy violation, balance, work conserving)""",None,dl.extra_bw not accurate during boot the machine,,,,,
36569780b0d64de283f9d6c2195fd1a43e221ee8,e6fe3f422be1,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,v5.14,semantic(generic wrong type integer overflow etc),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, cpufreq control)"", ""Performance (Policy violation, fairness)""",None,load average is not accurate as the overflow of nr_uninterruptible,Over months/years or under heavy I/O,,,,
db6cc3f4ac2e6cdc898fc9cbc8b32ae1bf56bdad,ad6b26b6a0a7,master,,v6.16,concurrency,"Special topology (numa), Thread Behavior",Benchmark/stress test/standard test fail,no action,Crash,Panic,null pointer during accounting due to a race ,,,,,
